origin,original_dest,recommended_dest,time_slot,incentive_amount,period_start_min,expected_flow,surplus_at_dest,deficit_at_redir,detour_m
4,3,2,13,1.2,195.0,0.09,7.95,1.83,400.0
5,3,2,13,1.2,195.0,0.09,7.95,1.83,400.0
6,3,2,13,1.2,195.0,0.09,7.95,1.83,400.0
7,3,2,13,1.2,195.0,0.09,7.95,1.83,400.0
8,3,2,13,1.2,195.0,0.09,7.95,1.83,400.0
9,3,2,13,1.2,195.0,0.09,7.95,1.83,400.0
0,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
1,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
2,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
3,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
4,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
5,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
6,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
7,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
8,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
9,4,0,13,1.2,195.0,0.09,7.95,1.83,400.0
0,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
1,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
2,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
3,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
4,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
5,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
6,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
7,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
8,5,1,13,1.2,195.0,0.09,7.95,1.83,400.0
